Order,Frequency,Vpc,Vs,Is,Ib1,Ib2,Vline
      160,21214.1,0.635805,3.87194e-006,0.184088,0.651829,0.757304,0.635803
      161,21347.6,0.00853266,2.77526e-006,0.00247423,0.00886233,0.010264,0.00853236
      162,21481,0.00141554,2.75164e-006,0.00041646,0.00159031,0.00180549,0.00141507
      163,21614.4,0.000222445,2.77628e-006,5.1313e-005,0.000116572,6.81544e-005,0.000220164
      164,21747.8,0.00165102,2.72129e-006,0.000442296,0.00115962,0.00148727,0.00165058
      165,21881.3,0.00746473,2.71734e-006,0.00202576,0.00573978,0.00717204,0.00746443
      166,22014.7,0.804812,4.47177e-006,0.218769,0.627133,0.780234,0.804811
      167,22148.1,0.0119394,2.69587e-006,0.00324532,0.00926837,0.0115558,0.0119391
      168,22281.5,0.00217035,2.6594e-006,0.000591238,0.00166157,0.00209737,0.00216992
      169,22414.9,0.000304733,2.67303e-006,8.26066e-005,0.000135664,0.000217614,0.00030256
      170,22548.4,0.00153026,2.62494e-006,0.000404056,0.00116765,0.00136129,0.0015297
      171,22681.8,0.00747305,2.61029e-006,0.00198672,0.00580035,0.00688332,0.00747272
      172,22815.2,0.762953,3.29022e-006,0.203019,0.595046,0.707904,0.762955
      173,22948.6,0.0122966,2.5816e-006,0.00327145,0.00952634,0.0113268,0.0122963
      174,23082.1,0.0023086,2.56402e-006,0.000614186,0.00169309,0.00201173,0.00230817
      175,23215.5,0.000452144,2.52377e-006,0.000120521,0.000125684,0.00016764,0.000450775
      176,23348.9,0.00112019,2.53124e-006,0.00029149,0.00121951,0.00145217,0.00111949
      177,23482.3,0.00598662,2.50405e-006,0.00156541,0.006002,0.00713257,0.00598625
      178,23615.7,0.586569,1.0234e-006,0.153326,0.578423,0.687408,0.586569
      179,23749.2,0.0100409,2.46507e-006,0.0026285,0.0100159,0.0118969,0.0100405
      180,23882.6,0.00163739,2.47471e-006,0.000434721,0.00177388,0.00209735,0.00163692
      181,24016,0.000220144,2.42065e-006,4.36227e-005,0.000134403,0.000151411,0.000218478
      182,24149.4,0.00190466,2.45101e-006,0.000464471,0.00126383,0.00154941,0.00190451
      183,24282.9,0.00850296,2.43108e-006,0.00209902,0.00620647,0.00753408,0.00850288
      184,24416.3,0.759324,2.05375e-006,0.187764,0.56357,0.682647,0.759323
      185,24549.7,0.0143116,2.399e-006,0.00353828,0.0105342,0.0127832,0.0143115
      186,24683.1,0.00266302,2.4023e-006,0.000659146,0.00186636,0.0022953,0.002663
      187,24816.5,0.000453713,2.39687e-006,0.000114668,0.000161255,0.000255653,0.000454075
      188,24950,0.00125716,2.38447e-006,0.000303056,0.00127064,0.00141383,0.00125759
      189,25083.4,0.00682084,2.38368e-006,0.00165337,0.00627349,0.00715213,0.00682114
      190,25216.8,0.593767,3.77725e-006,0.143977,0.538602,0.616643,0.593768
      191,25350.2,0.0118882,2.37074e-006,0.00288398,0.0108354,0.0123753,0.0118886
      192,25483.7,0.00205341,2.34084e-006,0.000500553,0.00190822,0.00214425,0.00205388
      193,25617.1,0.000325346,2.37272e-006,7.80755e-005,0.000161958,0.000122119,0.000327668
      194,25750.5,0.00171294,2.31857e-006,0.000399141,0.00130263,0.00162941,0.00171361
      195,25883.9,0.00792224,2.32104e-006,0.00185962,0.00640212,0.00781766,0.0079227
      196,26017.3,0.638199,3.9508e-006,0.149931,0.520055,0.632472,0.638201
      197,26150.8,0.0138256,2.31301e-006,0.00324848,0.0112404,0.0136969,0.0138261
      198,26284.2,0.00244976,2.27409e-006,0.000576751,0.00196728,0.00242684,0.00245036
      199,26417.6,0.000424393,2.2784e-006,9.49188e-005,0.000160076,0.000254585,0.000426522
      200,26551,0.00177964,2.24546e-006,0.000401322,0.00135407,0.00153715,0.00178023
      201,26684.5,0.00835694,2.22979e-006,0.00190599,0.00661527,0.00764472,0.00835727
      202,26817.9,0.638439,2.52024e-006,0.145808,0.509141,0.589767,0.638438
      203,26951.3,0.0148964,2.20419e-006,0.00340201,0.0118088,0.0136748,0.0148967
      204,27084.7,0.00272498,2.1995e-006,0.0006236,0.00206551,0.0023944,0.00272537
      205,27218.1,0.000488882,2.15396e-006,0.000113981,0.00018525,0.000234998,0.000489897
      206,27351.6,0.00129329,2.17485e-006,0.000282992,0.0013702,0.00157181,0.00129359
      207,27485,0.00689329,2.14713e-006,0.00152547,0.00671834,0.00772118,0.00689339
      208,27618.4,0.512669,4.07793e-007,0.113538,0.49147,0.56538,0.512669
      209,27751.8,0.0125926,2.108e-006,0.0027907,0.0122047,0.0140221,0.0125927
      210,27885.3,0.00202049,2.13343e-006,0.000451473,0.00212735,0.0024179,0.00202056
